Statistic	PH1177	PH1178	PH1183	PH1184	PH1194	PH1203	PH1199R	PH1199N	PH1214.5	PH1214.30	PH1217.10	PH1217.30	PH1217.S10	PH1217.F30	PH1230	PH1238	PH1239	PH1243	B23	B30	B31	B34	B36	B39	A5	A6	A12	A16	A25	A40	C1	C2	C3	C4	C5	C8
Genome	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38	GRCh38
Pipeline.version	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0	cellranger-arc-2.0.0
Estimated.number.of.cells	3874	3225	307	606	1907	3347	4011	2330	20000	5752	3740	1937	2853	3271	6340	9137	9841	3034	5342	2277	1077	2978	5128	1589	1865	2677	1109	1240	3202	9099	5081	5423	4466	2454	516	2294
Feature.linkages.detected	2010	9443	210	1554	2260	2739	33833	285049	2253	215987	33196	395885	12367	112215	12299	8690	12062	3396	1048	2214	1485	2435	168389	2923	627	787	1288	691	2403	1393	1097	1506	17485	1416	650	117063
Linked.genes	1081	2626	39	703	1086	1201	4857	6252	1600	6779	2855	5139	3930	7946	3727	3290	4243	1378	776	908	491	1316	6780	1226	489	614	722	442	1398	1004	678	1058	4110	953	331	4981
Linked.peaks	1600	13124	329	2015	2718	3780	23223	47212	2541	50259	18795	57023	13257	30391	10812	11243	8460	2117	1090	3004	1191	2876	29256	4008	679	840	1633	843	2212	1574	1267	1680	8918	1463	833	23625
ATAC.Confidently.mapped.read.pairs	0.8734	0.8621	0.8764	0.8634	0.8679	0.8611	0.865	0.8771	0.8885	0.8868	0.9026	0.9104	0.8371	0.8727	0.9135	0.8866	0.9042	0.8635	0.8858	0.8967	0.8882	0.8927	0.8937	0.8866	0.8879	0.8834	0.8756	0.888	0.8791	0.886	0.8833	0.8869	0.8906	0.883	0.8879	0.8944
ATAC.Fraction.of.genome.in.peaks	0.0069	0.0253	0.0031	0.0196	0.0081	0.0216	0.0229	0.0448	0.0572	0.0579	0.0455	0.065	0.021	0.0315	0.0359	0.0207	0.0236	0.013	0.0064	0.0161	0.0064	0.0164	0.0215	0.0173	0.0048	0.009	0.0102	0.0066	0.0114	0.009	0.0068	0.0074	0.0144	0.009	0.0096	0.0206
ATAC.Fraction.of.high.quality.fragments.in.cells	0.1728	0.0384	0.0151	0.0165	0.0697	0.0591	0.2619	0.6978	0.6406	0.7364	0.8772	0.893	0.4779	0.3952	0.726	0.5922	0.648	0.3566	0.1677	0.2431	0.0845	0.4635	0.5233	0.0698	0.0991	0.356	0.0585	0.1755	0.3643	0.4236	0.1558	0.2193	0.2607	0.1468	0.0385	0.4381
ATAC.Fraction.of.high.quality.fragments.overlapping.TSS	0.2398	0.2138	0.3002	0.2811	0.2048	0.1988	0.3353	0.3715	0.2528	0.3016	0.3512	0.34	0.2241	0.2925	0.3368	0.1931	0.2478	0.2393	0.2363	0.1287	0.3504	0.1826	0.4731	0.1261	0.1153	0.1484	0.1074	0.102	0.1793	0.1434	0.1613	0.1458	0.4427	0.1353	0.1144	0.3564
ATAC.Fraction.of.high.quality.fragments.overlapping.peaks	0.1805	0.164	0.1966	0.1655	0.1346	0.1507	0.3587	0.5749	0.4684	0.5627	0.6137	0.664	0.2192	0.4179	0.4862	0.2141	0.2798	0.2052	0.1918	0.1308	0.3004	0.1638	0.5599	0.1167	0.0559	0.1074	0.0657	0.0589	0.1521	0.096	0.1114	0.0977	0.5083	0.0936	0.0708	0.3974
ATAC.Fraction.of.transposition.events.in.peaks.in.cells	0.1699	0.1566	0.1897	0.1614	0.1281	0.1488	0.3495	0.5514	0.441	0.5342	0.568	0.6385	0.2019	0.4004	0.4564	0.1978	0.2605	0.1915	0.1793	0.1206	0.2751	0.1522	0.5318	0.1072	0.0512	0.0985	0.0605	0.0541	0.1399	0.0865	0.1028	0.0908	0.4779	0.0857	0.065	0.3648
ATAC.Mean.raw.read.pairs.per.cell	50133.6	83252.62	115888.9	417983.9	210941.4	71228.6	55667.75	81930.02	11740.64	32772.93	48598.32	104146.4	71459.56	60027.53	29973.74	19117.71	17937.06	80300.37	18403.19	72076.5	179675.8	63919.44	27849.65	98332.46	60312.1	32876.28	111529.1	77177.22	37836.81	20730.34	37133.41	25348.79	22457.03	91609.86	366974	77758.27
ATAC.Median.high.quality.fragments.per.cell	3583.5	2281	150	3478.5	4924	2639	5421	14723	3035	8483.5	8361.5	33235	5237	9085	10076	1689	5300	13079.5	1287	8212	8033	8876.5	7725	3574	2418	5985	3571	7711	6684	4236	2981	2354	3134	6002.5	7457	19838
ATAC.Non.nuclear.read.pairs	8.00E-04	0.0026	0.0029	3.00E-04	5.00E-04	5.00E-04	0.01	0.0274	0.0889	0.0849	0.0254	0.0327	0.0053	0.0213	0.0146	0.0382	0.0152	0.0499	5.00E-04	0.003	0.0013	0.0058	0.0099	0.0028	3.00E-04	0.0012	8.00E-04	7.00E-04	0.001	0.0042	4.00E-04	6.00E-04	0.0021	4.00E-04	3.00E-04	0.0046
ATAC.Number.of.peaks	24293	83946	10998	57877	27898	48773	69394	155839	204657	205252	166628	233899	75721	108918	128794	73853	84326	46320	23185	59078	23448	60251	76531	63951	17369	32786	37422	23968	41465	33187	24820	27174	51721	33110	35358	74990
ATAC.Percent.duplicates	0.2792	0.1215	0.6965	0.2477	0.3909	0.1827	0.3618	0.5824	0.3645	0.3301	0.7018	0.4543	0.5347	0.3903	0.256	0.3654	0.155	0.2047	0.065	0.1034	0.2152	0.1292	0.2336	0.113	0.0546	0.072	0.065	0.0721	0.0814	0.1354	0.0686	0.0597	0.1096	0.05	0.0868	0.2526
ATAC.Q30.bases.in.barcode	0.9135	0.9104	0.92	0.9196	0.9023	0.9139	0.9075	0.9139	0.9165	0.8884	0.9087	0.9103	0.9104	0.9091	0.791	0.8093	0.8246	0.8517	0.9283	0.954	0.9561	0.9468	0.9557	0.9448	0.9214	0.9213	0.922	0.9248	0.9264	0.9493	0.9283	0.9275	0.943	0.9284	0.9202	0.9525
ATAC.Q30.bases.in.read.1	0.9542	0.9502	0.9571	0.9576	0.9474	0.9487	0.946	0.9443	0.9591	0.9499	0.9581	0.9594	0.9564	0.9603	0.9358	0.9278	0.9257	0.9344	0.9607	0.9686	0.9742	0.9621	0.9624	0.9491	0.961	0.9625	0.9628	0.9633	0.9629	0.9688	0.9603	0.9609	0.9551	0.9548	0.9625	0.9732
ATAC.Q30.bases.in.read.2	0.9477	0.9508	0.9516	0.9539	0.9488	0.9535	0.952	0.9507	0.938	0.9418	0.9364	0.939	0.9371	0.9374	0.9067	0.9153	0.919	0.9263	0.8896	0.9006	0.9142	0.9003	0.9083	0.8719	0.8754	0.8534	0.882	0.8936	0.8592	0.9014	0.8879	0.8807	0.8793	0.8503	0.8768	0.9113
