Sample	Biological	Protocol	Group	NP40_IncuTime	FACS_Sorting	Trials	TrialSample
PH1177	OC_TISSUE	Collagenase_PBMC	B	NA	NA	Other	Other
PH1178	OC_TISSUE	Collagenase_PBMC	B	NA	NA	Other	Other
PH1183	OC_TISSUE	Collagenase_PBMC	B	NA	NA	Other	Other
PH1184	OC_TISSUE	Collagenase_PBMC	B	NA	NA	Other	Other
PH1194	OC_TISSUE	Collagenase_PBMC	B	NA	NA	Other	Other
PH1203	OC_TISSUE	Collagenase_PBMC	B	NA	NA	Other	Other
PH1199R	OC_TISSUE	Collagenase_PBMC	B	NA	NA	Collagenase	PH1199
PH1199N	OC_TISSUE	Complex_Tissue	C	30	NA	ComplexTissue	PH1199
PH1214.5	OC_TISSUE	Complex_Tissue	C	5	NA	IncuTime_5	PH1214
PH1214.30	OC_TISSUE	Complex_Tissue	C	30	NA	IncuTime_30	PH1214
PH1217.10	OC_TISSUE	Complex_Tissue	C	10	NA	IncuTime_10	PH1217
PH1217.30	OC_TISSUE	Complex_Tissue	C	30	NA	IncuTime_30	PH1217
PH1217.S10	OC_TISSUE	Complex_Tissue	E	10	FACS	IncuTime_10_FACS	PH1217
PH1217.F30	OC_TISSUE	Complex_Tissue	D	30	NO_FACS	IncuTime_30_NOFACS	PH1217
PH1230	OC_TISSUE	Complex_Tissue	D	NA	NA	Other	Other
PH1238	OC_TISSUE	Complex_Tissue	D	NA	NA	Other	Other
PH1239	OC_TISSUE	Complex_Tissue	D	NA	NA	Other	Other
PH1243	OC_TISSUE	Complex_Tissue	D	NA	NA	Other	Other
B23	PBMC	PBMC	A	NA	NA	Other	Other
B30	PBMC	PBMC	A	NA	NA	Other	Other
B31	PBMC	PBMC	A	NA	NA	Other	Other
B34	PBMC	PBMC	A	NA	NA	Other	Other
B36	PBMC	PBMC	A	NA	NA	Other	Other
B39	PBMC	PBMC	A	NA	NA	Other	Other
A5	PBMC	PBMC	A	NA	NA	Other	Other
A6	PBMC	PBMC	A	NA	NA	Other	Other
A12	PBMC	PBMC	A	NA	NA	Other	Other
A16	PBMC	PBMC	A	NA	NA	Other	Other
A25	PBMC	PBMC	A	NA	NA	Other	Other
A40	PBMC	PBMC	A	NA	NA	Other	Other
C1	PBMC	PBMC	A	NA	NA	Other	Other
C2	PBMC	PBMC	A	NA	NA	Other	Other
C3	PBMC	PBMC	A	NA	NA	Other	Other
C4	PBMC	PBMC	A	NA	NA	Other	Other
C5	PBMC	PBMC	A	NA	NA	Other	Other
C8	PBMC	PBMC	A	NA	NA	Other	Other
