Sample Identifier for Multiome	Tissue	Live cells (after Dead Cell Removal)	Viability (%)	Nuclei/uL	Number of nuclei targeted with Multiome	Cell Ranger Estimated number of cells
B23	PBMC	290000	77.6	1920	4000	5342
B30 	PBMC	1896000	74.5	2960	4000	2277
B31 	PBMC	88000	78.8	883	2000	1077
B34	PBMC	65500	53.7	2750	4000	2978
B36	PBMC	259800	64	1500	4000	5128
B39	PBMC	52900	31.7	2960	4000	1589
A5	PBMC	298000	84.3	916	3000	1865
A6	PBMC	123000	78.7	1330	4000	2677
A12	PBMC	215000	81.4	1460	4000	1109
A16	PBMC	139000	70	1000	3000	1240
A25	PBMC	220000	82.5	1700	4000	3202
A40 	PBMC	1782000	78.1	1000	3000	9099
C1	PBMC	2750000	77.4	2980	4000	5081
C2	PBMC	840000	71	2860	4000	5423
C3	PBMC	3230000	91	2660	4000	4466
C4	PBMC	1600000	63.3	2920	4000	2454
C5	PBMC	745000	NA	2120	4000	516
C8	PBMC	533000	79.7	658	2000	2294
PH1177	OVCAR	11000	0.1	4180	5000	3874
PH1178	OVCAR	3500000	87.9	2139	5000	3225
PH1183	OVCAR	1600000	98.2	1650	5000	307
PH1184	OVCAR	23500	0.7	1184	1000	606
PH1194	OVCAR	430000	70	7980	10000	1907
PH1199N	OVCAR	32300000	87.1	5070	5000	2330
PH1199R	OVCAR	32300000	87.1	2300	5000	4011
PH1203	OVCAR	4800000	60.5	4000	5000	3347
PH1214-5	OVCAR	NA	NA	5330	5000	20000
PH1214-30	OVCAR	NA	NA	6410	5000	5752
PH1217-10	OVCAR	NA	NA	4850	5000	3740
PH1217-30	OVCAR	NA	NA	3520	5000	1937
PH1217-S10	OVCAR	NA	NA	3250	5000	2853
PH1217-F30	OVCAR	NA	NA	3800	5000	3271
PH1230	OVCAR	NA	NA	3470	5000	6340
PH1238	OVCAR	NA	NA	1744	5000	9137
PH1239	OVCAR	NA	NA	6660	5000	9841
PH1243	OVCAR	NA	NA	2520	5000	3034
FT243	FT	NA	NA	2240	5000	9473
FT244	FT	NA	NA	1660	5000	3485
FT246	FT	NA	NA	4470	5000	3692
D92	MaSC	NA	NA	1320	4000	1029
D92-2	MaSC	NA	NA	1320	4000	1289
D93	MaSC	NA	NA	3900	4000	5548
D93-2	MaSC	NA	NA	3900	4000	5561
B1_1	PBMC_M	NA	NA	1230	4000	729
B1_3	PBMC_M	NA	NA	650	2000	560
B1_4	PBMC_M	NA	NA	315	1000	628
B1_5	PBMC_M	NA	NA	812	2000	231
B1_6	PBMC_M	NA	NA	5140	4000	3268
B1_10	PBMC_M	NA	NA	394	1000	630
B2_2	PBMC_M	NA	NA	494	1000	695
B2_3	PBMC_M	NA	NA	3740	4000	3716
B2_4	PBMC_M	NA	NA	575	1000	1224
B2_8	PBMC_M	NA	NA	866	2000	2646
B2_15	PBMC_M	NA	NA	1210	4000	3516
B2_16	PBMC_M	NA	NA	676	2000	1497
B3_Sample_6	PBMC_M	NA	NA	330	1000	953
B3_Sample_9	PBMC_M	NA	NA	450	1000	603
B3_Sample_10	PBMC_M	NA	NA	710	2000	1736
B3_Sample_12	PBMC_M	NA	NA	461	1000	493
MATT_C1	Pancreas	NA	NA	1530	5000	8981
MATT_C2	Pancreas	NA	NA	1720	5000	4879
PH080	PDX	NA	NA	280	1000	2727
